Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering
-1.156026993,2.63E-05,8.06E-07,19,-5.00E-06,1.70E-11,0,0,0
-0.96601548,2.63E-05,1.65E-06,19.00191394,-4.99E-06,-2.62E-09,-1.93E-06,0,-7.00E-12
-0.776001992,2.63E-05,3.49E-06,18.99998556,-4.97E-06,-1.59E-08,-1.94E-06,0,-8.03E-09
-0.586028829,2.63E-05,6.21E-06,18.99419971,-4.92E-06,-4.62E-08,-1.99E-06,0,-3.37E-08
-0.396121283,2.64E-05,9.64E-06,18.9873988,-4.84E-06,-9.78E-08,-2.09E-06,0,-1.90E-08
-0.206275571,2.65E-05,1.36E-05,18.98212577,-4.73E-06,-1.73E-07,-2.26E-06,0,1.84E-07
-0.016471336,2.66E-05,1.79E-05,18.97904383,-4.60E-06,-2.73E-07,-2.51E-06,0,8.03E-07
0.17330923,2.67E-05,2.24E-05,18.9771424,-4.47E-06,-3.97E-07,-2.82E-06,0,2.11E-06
0.363070715,2.69E-05,2.72E-05,18.97503519,-4.33E-06,-5.44E-07,-3.20E-06,0,4.36E-06
0.552807128,2.70E-05,3.21E-05,18.97211989,-4.22E-06,-7.11E-07,-3.64E-06,0,7.77E-06
0.742511686,2.72E-05,3.72E-05,18.96878978,-4.12E-06,-8.94E-07,-4.13E-06,0,1.25E-05
0.932184141,2.74E-05,4.24E-05,18.965819,-4.06E-06,-1.09E-06,-4.66E-06,0,1.85E-05
1.121830718,2.76E-05,4.76E-05,18.963635,-4.03E-06,-1.30E-06,-5.22E-06,0,2.57E-05
1.311458928,2.79E-05,5.29E-05,18.96208047,-4.03E-06,-1.52E-06,-5.80E-06,0,3.40E-05
1.501072907,2.81E-05,5.83E-05,18.96071698,-4.06E-06,-1.74E-06,-6.41E-06,0,4.30E-05
1.690672927,2.84E-05,6.36E-05,18.95927258,-4.12E-06,-1.97E-06,-7.03E-06,0,5.21E-05
1.880258286,2.86E-05,6.88E-05,18.95782184,-4.20E-06,-2.19E-06,-7.66E-06,0,6.09E-05
2.069830147,2.89E-05,7.39E-05,18.95661358,-4.30E-06,-2.41E-06,-8.29E-06,0,6.89E-05
2.259391786,2.92E-05,7.89E-05,18.95577898,-4.41E-06,-2.63E-06,-8.91E-06,0,7.57E-05
2.448946551,2.95E-05,8.35E-05,18.95520104,-4.52E-06,-2.83E-06,-9.53E-06,0,8.12E-05
2.638495768,2.98E-05,8.79E-05,18.95462726,-4.63E-06,-3.01E-06,-1.01E-05,0,8.54E-05
2.828038464,3.01E-05,9.19E-05,18.95388257,-4.74E-06,-3.19E-06,-1.07E-05,0,8.84E-05
3.017572852,3.04E-05,9.56E-05,18.95298426,-4.85E-06,-3.35E-06,-1.13E-05,0,9.06E-05
3.207098093,3.07E-05,9.88E-05,18.95208148,-4.95E-06,-3.49E-06,-1.19E-05,0,9.22E-05
3.396614855,3.10E-05,0.000101504,18.95130086,-5.03E-06,-3.61E-06,-1.24E-05,0,9.32E-05
3.586124486,3.13E-05,0.000103788,18.95064457,-5.12E-06,-3.72E-06,-1.29E-05,0,9.36E-05
3.775627787,3.17E-05,0.000105628,18.95001516,-5.19E-06,-3.81E-06,-1.34E-05,0,9.34E-05
3.965124512,3.20E-05,0.00010704,18.94931936,-5.26E-06,-3.88E-06,-1.39E-05,0,9.28E-05
4.154613866,3.23E-05,0.000108045,18.94854692,-5.32E-06,-3.94E-06,-1.43E-05,0,9.17E-05
4.344095368,3.26E-05,0.000108664,18.94776335,-5.37E-06,-3.99E-06,-1.47E-05,0,9.01E-05
4.533569295,3.30E-05,0.000108925,18.94704042,-5.42E-06,-4.02E-06,-1.51E-05,0,8.81E-05
4.723036397,3.33E-05,0.000108856,18.94639506,-5.46E-06,-4.03E-06,-1.55E-05,0,8.59E-05
4.912497277,3.36E-05,0.000108492,18.94578635,-5.50E-06,-4.04E-06,-1.58E-05,0,8.34E-05
