time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_curvature,driving_machine_monitor.path_distance,driver_demands.steering
0,-1.156026972,2.62745E-05,7.63816E-07,18,-4.99608E-06,9E-12,0,0,0
0.01,-0.976015535,2.62777E-05,1.58793E-06,18.00187505,-4.99141E-06,-2.555E-09,0,-1.93005E-06,-8E-12
0.02,-0.796003659,2.62926E-05,3.36435E-06,17.99965252,-4.96994E-06,-1.5493E-08,0,-1.94093E-06,-9.215E-09
0.03,-0.616036241,2.63261E-05,6.00542E-06,17.99335809,-4.92284E-06,-4.5105E-08,0,-1.98732E-06,-4.0942E-08
0.04,-0.436140251,2.63825E-05,9.33202E-06,17.98590511,-4.84536E-06,-9.5666E-08,0,-2.08812E-06,-3.8472E-08
0.05,-0.256313246,2.64638E-05,1.31443E-05,17.97986573,-4.73972E-06,-1.69774E-07,0,-2.25546E-06,1.49292E-07
0.06,-0.07653551,2.65697E-05,1.72928E-05,17.97601598,-4.6144E-06,-2.68539E-07,0,-2.49453E-06,7.56678E-07
0.07,0.103211433,2.66986E-05,2.16854E-05,17.97347558,-4.48076E-06,-3.91519E-07,0,-2.80463E-06,2.06489E-06
0.08,0.282933852,2.68485E-05,2.62678E-05,17.97092197,-4.35183E-06,-5.36826E-07,0,-3.18059E-06,4.34456E-06
0.09,0.462627645,2.70174E-05,3.09997E-05,17.96773345,-4.23873E-06,-7.01743E-07,0,-3.61406E-06,7.80548E-06
0.1,0.642287449,2.72032E-05,3.58444E-05,17.96423705,-4.14958E-06,-8.83429E-07,0,-4.09587E-06,1.25736E-05
0.11,0.821913734,2.74041E-05,4.07688E-05,17.96113984,-4.0895E-06,-1.07925E-06,0,-4.61746E-06,1.86823E-05
0.12,1.00151289,2.76185E-05,4.57463E-05,17.95882769,-4.06083E-06,-1.28664E-06,0,-5.17147E-06,2.60531E-05
0.13,1.181092333,2.78448E-05,5.07563E-05,17.95713242,-4.0637E-06,-1.50265E-06,0,-5.7513E-06,3.44615E-05
0.14,1.360656132,2.8082E-05,5.57759E-05,17.95563192,-4.09628E-06,-1.7238E-06,0,-6.35041E-06,4.35236E-05
0.15,1.540204764,2.83294E-05,6.07706E-05,17.95408993,-4.15503E-06,-1.94625E-06,0,-6.96212E-06,5.27366E-05
0.16,1.719738122,2.85866E-05,6.56928E-05,17.95261991,-4.23513E-06,-2.16627E-06,0,-7.57997E-06,6.15666E-05
0.17,1.899258275,2.88533E-05,7.04846E-05,17.95148985,-4.33072E-06,-2.38058E-06,0,-8.19827E-06,6.95394E-05
0.18,2.078769422,2.91292E-05,7.50878E-05,17.95081395,-4.43574E-06,-2.58642E-06,0,-8.81247E-06,7.6301E-05
0.19,2.258275491,2.94138E-05,7.94461E-05,17.9504273,-4.54496E-06,-2.78137E-06,0,-9.41886E-06,8.16507E-05
0.2,2.437777867,2.97066E-05,8.35071E-05,17.95002543,-4.65738E-06,-2.96327E-06,0,-1.00139E-05,8.55866E-05
0.21,2.617275219,3.00068E-05,8.72292E-05,17.94940749,-4.76625E-06,-3.13018E-06,0,-1.05936E-05,8.83468E-05
0.22,2.796765338,3.03138E-05,9.05664E-05,17.9486017,-4.86879E-06,-3.28072E-06,0,-1.11555E-05,9.03065E-05
0.23,2.976247195,3.06264E-05,9.34828E-05,17.94778912,-4.96408E-06,-3.41421E-06,0,-1.16971E-05,9.15685E-05
