time.TIME,Gyro.gyro_X,Gyro.gyro_Y,Vehicle_States.lateral_vel_wrt_road,Vehicle_States.longitudinal_vel_wrt_road,Vehicle_States.roll_angle,Vehicle_States.yaw_angle,driving_machine_monitor.path_distance,driving_machine_monitor.path_curvature,driver_demands.steering,driver_demands.throttle
0,-1.156026993,2.62747E-05,8.06399E-07,19,-4.9972E-06,1.7E-11,0,0,0,0
0.01,-0.96601548,2.62779E-05,1.65489E-06,19.00191394,-4.99234E-06,-2.62E-09,-1.92997E-06,0,-7E-12,8.22784E-06
0.02,-0.776001992,2.62933E-05,3.49063E-06,18.99998556,-4.96992E-06,-1.5927E-08,-1.94117E-06,0,-8.027E-09,0.010104467
0.03,-0.586028829,2.63275E-05,6.21379E-06,18.99419971,-4.9209E-06,-4.6246E-08,-1.98892E-06,0,-3.3676E-08,0.06542898
0.04,-0.396121283,2.63851E-05,9.64383E-06,18.9873988,-4.84068E-06,-9.7801E-08,-2.09227E-06,0,-1.9039E-08,0.197253662
0.05,-0.206275571,2.64679E-05,1.35794E-05,18.98212577,-4.73161E-06,-1.73103E-07,-2.26319E-06,0,1.84046E-07,0.427293333
0.06,-0.016471336,2.65755E-05,1.78689E-05,18.97904383,-4.60247E-06,-2.73158E-07,-2.50661E-06,0,8.02796E-07,0.764286658
0.07,0.17330923,2.67063E-05,2.24185E-05,18.9771424,-4.46535E-06,-3.9745E-07,-2.82151E-06,0,2.10842E-06,1.20480963
0.08,0.363070715,2.68582E-05,2.71815E-05,18.97503519,-4.33271E-06,-5.44124E-07,-3.20237E-06,0,4.36331E-06,1.740063353
0.09,0.552807128,2.70291E-05,3.21216E-05,18.97211989,-4.21621E-06,-7.10549E-07,-3.64098E-06,0,7.77357E-06,2.36072448
0.1,0.742511686,2.72172E-05,3.72017E-05,18.96878978,-4.12402E-06,-8.9398E-07,-4.12823E-06,0,1.2466E-05,3.054057968
0.11,0.932184141,2.74206E-05,4.23849E-05,18.965819,-4.06121E-06,-1.09185E-06,-4.6558E-06,0,1.84772E-05,3.797988516
0.12,1.121830718,2.76377E-05,4.76396E-05,18.963635,-4.03026E-06,-1.30162E-06,-5.21648E-06,0,2.57326E-05,4.561178633
0.13,1.311458928,2.78669E-05,5.29403E-05,18.96208047,-4.03152E-06,-1.52037E-06,-5.80369E-06,0,3.40167E-05,5.310800616
0.14,1.501072907,2.81073E-05,5.82608E-05,18.96071698,-4.06339E-06,-1.74468E-06,-6.41088E-06,0,4.29613E-05,6.020460896
0.15,1.690672927,2.8358E-05,6.35649E-05,18.95927258,-4.12239E-06,-1.97077E-06,-7.0314E-06,0,5.20851E-05,6.671040499
0.16,1.880258286,2.86187E-05,6.88042E-05,18.95782184,-4.20367E-06,-2.19499E-06,-7.65886E-06,0,6.08743E-05,7.246020058
0.17,2.069830147,2.8889E-05,7.39194E-05,18.95661358,-4.30123E-06,-2.41411E-06,-8.2877E-06,0,6.88676E-05,7.729109999
0.18,2.259391786,2.91687E-05,7.885E-05,18.95577898,-4.40879E-06,-2.62538E-06,-8.91347E-06,0,7.57154E-05,8.108844061
0.19,2.448946551,2.94573E-05,8.35359E-05,18.95520104,-4.52047E-06,-2.82637E-06,-9.53255E-06,0,8.12152E-05,8.386939255
0.2,2.638495768,2.97541E-05,8.79179E-05,18.95462726,-4.63212E-06,-3.01484E-06,-1.01416E-05,0,8.53527E-05,8.583987701
0.21,2.828038464,3.00586E-05,9.19433E-05,18.95388257,-4.74319E-06,-3.18884E-06,-1.0737E-05,0,8.83654E-05,8.740143623
0.22,3.017572852,3.03697E-05,9.55708E-05,18.95298426,-4.84811E-06,-3.34686E-06,-1.13148E-05,0,9.06191E-05,8.898270881
0.23,3.207098093,3.06864E-05,9.87641E-05,18.95208148,-4.94529E-06,-3.48809E-06,-1.1873E-05,0,9.22084E-05,9.06402188
